note_id,char,pinyin,english,rank,hsk,is_surname,tier,recommendation,tags
1768474725148,麻,má,Hemp / Numb,1108,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725149,摩,mó,Rub / Friction,1162,5,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725150,楚,chǔ,Clear,859,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725151,蛋,dàn,Egg,1387,2,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725152,森,sēn,Forest,1029,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725153,查,chá,Check,459,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725154,集,jí,Gather,406,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725155,案,àn,Case / File,518,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725156,未,wèi,Not yet,385,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725157,味,wèi,Taste,844,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725158,妹,mèi,Younger Sister,1185,2,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725159,根,gēn,Root / Basis,352,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725160,极,jí,Extreme / Pole,363,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725161,勾,gōu,Hook / Cancel,2034,6,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725162,构,gòu,Construct,511,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725163,购,gòu,Purchase,1078,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725164,沟,gōu,Ditch / Communicate,1610,5,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725165,村,cūn,Village,712,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725166,树,shù,Tree,697,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725167,板,bǎn,Board / Plank,930,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725168,版,bǎn,Edition,810,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725169,材,cái,Material,952,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725170,析,xī,Analyze,1073,5,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725171,束,shù,Bind / Bundle,998,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725172,整,zhěng,Whole / Organize,416,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725173,辛,xīn,Hard (difficult) / Pungent&nbsp;,1463,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725174,辣,là,Spicy,2420,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725175,核,hé,Core / Check,828,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725176,刻,kè,Carve / Quarter,618,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725177,咳,ké,Cough,2373,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725178,嗽,sòu,Cough,2815,4,No,Tier 3: Lower-Freq (Rank 2501-3500),2 Cards or 1 Card,MBP-Intermediate
1768474725179,松,sōng,Pine / Loose,895,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725180,架,jià,Frame / Rack,846,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725181,枪,qiāng,Gun,874,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725182,档,dàng,File / Grade,1787,5,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725183,光,guāng,Light,290,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725184,梯,tī,Ladder / Stairs,1672,3,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725185,朵,duǒ,Flower M.W.,1571,3,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725186,棵,kē,Tree M.W.,2108,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725187,柿,shì,Persimmon,3355,4,No,Tier 4: Rare / Surname (>3500 or Unranked),1 Card (Recognition Only),MBP-Intermediate
1768474725188,橡,xiàng,Rubber / Oak,2871,4,No,Tier 3: Lower-Freq (Rank 2501-3500),2 Cards or 1 Card,MBP-Intermediate
1768474725189,植,zhí,Plant,1124,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725190,置,zhì,Place / Set up,677,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725191,值,zhí,Value,600,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725192,罗,luó,Net / Gather,392,N/A,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725193,保,bǎo,Protect,266,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725194,价,jià,Price,409,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725195,界,jiè,Boundary / World,288,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725196,养,yǎng,Raise / Nourish,760,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725197,阶,jiē,Step / Rank,745,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725198,专,zhuān,Specialist,485,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725199,传,chuán,Tradition / Spread,332,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725200,转,zhuǎn,Turn,376,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
